commit,parent_commit,timestamp,status,hypothesis,prediction,config_diff,primary_metric,delta_vs_parent,verdict_allocator,allocator_p_value,allocator_ci_low,allocator_ci_high,verdict_ndcg,classifier_primary_metric,classifier_delta_vs_parent,verdict_gate,gate_p_value,gate_ci_low,gate_ci_high,verdict_gate_return,stability_std,stability_min,metadata_path,override_reason,note,error
18571075,d755622a,2026-06-23T21:55:39+00:00,success,Only the shortest cross-sectional return window (5) carries the edge; dropping 10 leans the champion further,ranker top-k net return up vs d755622a,"model_features.ranker.cs_return_windows: [5, 10] -> [5]",0.00272648618023,-7.10451727243e-05,within_noise,0.30377344204,-0.000258505471468,7.51935608433e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00926898497075,-0.00225961363307,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T215426509184Z/metadata.json,,,
7e093026,d755622a,2026-06-23T21:56:50+00:00,success,The long 50-bar SMA is redundant own-stock trend noise for the ranker; keeping only the 20 SMA tightens it,ranker top-k net return up or flat vs d755622a,"model_features.ranker.sma_windows: [20, 50] -> [20]",0.00269826686122,-9.92644917314e-05,within_noise,0.201070712015,-0.000278292557927,6.99508628838e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00927357119942,-0.00174312566805,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T215541397189Z/metadata.json,,,
3fc33c40,d755622a,2026-06-23T21:58:50+00:00,success,Wider trees let the ranker capture cross-sectional feature interactions in the BGU+SI basket,"ranker top-k net return up, stab_std may rise",ranker.num_leaves: 31 -> 63,0.00273967676803,-5.78545849241e-05,within_noise,0.432097481823,-0.000170678441516,6.6817368482e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.0089927608148,-0.00158725920829,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T215719616328Z/metadata.json,,,
c7602580,d755622a,2026-06-23T22:00:11+00:00,success,More estimators let the ranker exploit the lean feature set more fully,"ranker top-k net return up, training cost up",ranker.n_estimators: 200 -> 300,0.00285056859238,5.30372394311e-05,within_noise,0.313296621484,-4.5902706472e-05,0.000177484902155,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00910084808598,-0.00154620441008,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T215852932793Z/metadata.json,,,
0a5c5ddc,d755622a,2026-06-23T22:01:24+00:00,success,"Stronger leaf regularization reduces overfitting on the small traded universe, improving the top-k basket","ranker top-k net return up, stab_std down",ranker.min_data_in_leaf: 20 -> 50,0.00260896412534,-0.000188567227616,within_noise,0.102891845103,-0.000431788736817,3.0148377461e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00919165022399,-0.00194633460094,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T220013980066Z/metadata.json,,,
57cff429,c7602580,2026-06-23T22:03:25+00:00,success,Pushing estimators to 400 extends the gain seen going 200->300,ranker top-k net return up vs c7602580,ranker.n_estimators: 300 -> 400,0.00273514994631,-0.000115418646075,within_noise,0.0526258689223,-0.000256802120134,-1.5048328734e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00911451802908,-0.00152794341302,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T220204645233Z/metadata.json,,,
c3fc106b,c7602580,2026-06-23T22:04:54+00:00,success,500 estimators find the saturation point of the more-trees lever,"ranker top-k net return up, or flat if saturating",ranker.n_estimators: 300 -> 500,0.0026899657804,-0.00016060281198,significant_regression,0.0115238288811,-0.00030446624525,-5.71037677071e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00912661557034,-0.00157314250268,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T220327903014Z/metadata.json,,,
7354bb65,c7602580,2026-06-23T22:06:13+00:00,success,A slower learning rate paired with the now-larger ensemble improves generalization of the ranking,"ranker top-k net return up, stab_std down",ranker.learning_rate: 0.05 -> 0.03,0.0027259887689,-0.000124579823487,within_noise,0.103882491726,-0.000306421470798,1.55802222358e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00920873111855,-0.00162503467951,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T220456956897Z/metadata.json,,,
feaef06b,c7602580,2026-06-23T22:07:55+00:00,success,The n_estimators optimum sits between 200 and 300; 250 may match or beat 300,ranker top-k net return near or above c7602580,ranker.n_estimators: 300 -> 250,0.00283172567367,-1.88429187101e-05,within_noise,0.375158268091,-6.53603627287e-05,2.50254443719e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00909389749181,-0.00149850528582,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T220644607210Z/metadata.json,,,
a64bacd9,c7602580,2026-06-23T22:09:24+00:00,success,350 estimators is just past the 300 peak but may still beat it before the 400 falloff,ranker top-k net return near c7602580,ranker.n_estimators: 300 -> 350,0.00275110018807,-9.9468404319e-05,within_noise,0.0914619611957,-0.000232704034302,3.12476233809e-06,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00912873749929,-0.00153698178204,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T220757853043Z/metadata.json,,,
fa4f1ad7,c7602580,2026-06-23T22:10:49+00:00,success,A faster learning rate (slower hurt) lets the 300-tree ensemble fit the BGU basket better,ranker top-k net return up vs c7602580,ranker.learning_rate: 0.05 -> 0.07,0.00266725547366,-0.000183313118725,significant_regression,0.0332806290686,-0.000373557008896,-2.56258794181e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00915673629265,-0.00197139069131,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T220927129945Z/metadata.json,,,
3ccb67f4,c7602580,2026-06-23T22:12:35+00:00,success,Column subsampling at 0.8 decorrelates the 300 trees and improves the top-k basket,"ranker top-k net return up vs c7602580, stab_std down",ranker.feature_fraction: 1 -> 0.8,0.00270073270357,-0.000149835888813,within_noise,0.0789602321915,-0.000344822006405,1.41671214531e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00928096381616,-0.00208656072958,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T221116544327Z/metadata.json,,,
24f3187f,c7602580,2026-06-23T22:13:56+00:00,success,Heavier column subsampling at 0.6 maps the feature_fraction direction,ranker top-k net return moves monotonically with the 0.8 probe,ranker.feature_fraction: 1 -> 0.6,0.00273394136179,-0.000116627230598,within_noise,0.129050498075,-0.000274733318117,2.20568589489e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00922484576951,-0.00154297084676,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T221238044181Z/metadata.json,,,
cbf54bed,c7602580,2026-06-23T22:15:19+00:00,success,Capping tree depth at 8 regularizes the ensemble without the over-regularization seen at min_data_in_leaf 50,ranker top-k net return up or flat vs c7602580,ranker.max_depth: -1 -> 8,0.00266809557376,-0.000182473018627,within_noise,0.0983503723883,-0.000424467859645,8.57423351736e-06,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00927449221614,-0.00148146543896,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T221359175953Z/metadata.json,,,
487b60fc,c7602580,2026-06-23T22:17:11+00:00,success,Pushing the top relevance grade higher (0.95) makes the ranker focus on the extreme winners that dominate the traded top-k,ranker top-k net return up vs c7602580,"ranker.relevance_bins: [-Infinity, 0.5, 0.75, 0.9, Infinity] -> [-Infinity, 0.5, 0.8, 0.95, Infinity]",0.00261109055108,-0.000239478041301,within_noise,0.0554758993921,-0.000508984649022,-4.10809639705e-06,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00904947517363,-0.00175517839712,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T221556716561Z/metadata.json,,,
3a80b9fc,c7602580,2026-06-23T22:18:30+00:00,success,"Adding a fifth, very-high relevance grade (0.97) gives the ranker finer resolution at the very top it actually trades",ranker top-k net return up vs c7602580,"ranker.relevance_bins: [-Infinity, 0.5, 0.75, 0.9, Infinity] -> [-Infinity, 0.5, 0.75, 0.9, 0.97, Infinity]",0.0027663429068,-8.42256855803e-05,within_noise,0.322075855366,-0.000314606333951,0.00011302898893,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.0092982633326,-0.00211395231815,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T221714060130Z/metadata.json,,,
bc162522,c7602580,2026-06-23T22:19:53+00:00,success,Raising the lowest grade boundary to 0.6 stops the ranker wasting capacity separating below-median names,ranker top-k net return up or flat vs c7602580,"ranker.relevance_bins: [-Infinity, 0.5, 0.75, 0.9, Infinity] -> [-Infinity, 0.6, 0.8, 0.9, Infinity]",0.0026904567709,-0.000160111821484,within_noise,0.0648604484089,-0.000353257350619,9.9801570849e-06,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00928986595802,-0.00161141814206,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T221833144882Z/metadata.json,,,
a16719fd,c7602580,2026-06-23T22:21:43+00:00,success,Adding a 20-bar own-stock return window gives the ranker a longer momentum carrier alongside the short ones,ranker top-k net return up vs c7602580,"model_features.ranker.return_windows: [1, 3, 5, 10] -> [1, 3, 5, 10, 20]",0.00246888290864,-0.000381685683745,significant_regression,0.00219486700804,-0.000667697554815,-0.000147890237532,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00891970208947,-0.00228681499223,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T222025121930Z/metadata.json,,,
9e3c2758,c7602580,2026-06-23T22:23:09+00:00,success,Adding a 50-bar EMA gives the ranker a longer trend carrier,ranker top-k net return up vs c7602580,"model_features.ranker.ema_windows: [8, 21] -> [8, 21, 50]",0.00272739490512,-0.000123173687261,within_noise,0.138386793434,-0.000312898474269,2.86576223403e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00909871368583,-0.00160496677215,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T222146339852Z/metadata.json,,,
1287485c,c7602580,2026-06-23T22:24:36+00:00,success,The 50-bar relative-volume window is the carrier; keeping only [20] is a milder trim than the full prune that hurt,ranker top-k net return up or flat vs c7602580 (unlike the full relvol prune),"model_features.ranker.relative_volume_windows: [20, 50] -> [20]",0.00253058811359,-0.000319980478791,significant_regression,0.00278059472449,-0.000547619191191,-0.00014310362961,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00919950344428,-0.00164449905084,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T222311519906Z/metadata.json,,,
882be7d3,c7602580,2026-06-23T22:26:42+00:00,success,Sector-return context is noise for the BGU ranker; pruning the lone [21] window leans it (adding a 10 window already hurt),ranker top-k net return up or flat vs c7602580,model_features.ranker.sector_return_windows: [21] -> [],0.00282931293938,-2.12556530008e-05,within_noise,0.718744101287,-0.00018985246729,0.000145869649264,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00919270754604,-0.0019216061096,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T222529265990Z/metadata.json,,,
f4cc582d,c7602580,2026-06-23T22:28:09+00:00,success,The boolean signal features carry ranking information for the ranker; removing them should drop top-k net return,ranker top-k net return down vs c7602580 if signals are pulling weight,model_features.ranker.include_signals: true -> false,0.00285056859238,0,within_noise,1,0,0,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00910084808598,-0.00154620441008,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T222644444028Z/metadata.json,,,
f8c088eb,c7602580,2026-06-23T22:29:31+00:00,success,The 20-bar cross-sectional volatility window is noise; keeping only [10] (as the classifier does) leans the ranker,ranker top-k net return up or flat vs c7602580,"model_features.ranker.cs_volatility_windows: [10, 20] -> [10]",0.0028014346286,-4.91339637831e-05,within_noise,0.500847714659,-0.000242003522445,0.000122420012698,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00914195864312,-0.00193349098138,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T222811415476Z/metadata.json,,,
15671e41,c7602580,2026-06-23T22:31:28+00:00,success,Fewer leaves (23) with the larger 300-tree ensemble is the classic shallow-but-many boosting regime and may beat 31 leaves,"ranker top-k net return up vs c7602580, stab_std down",ranker.num_leaves: 31 -> 23,0.00260751719458,-0.000243051397808,significant_regression,0.00834752355263,-0.000456424080312,-8.34357649694e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00918706991373,-0.00187044227685,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T223013630493Z/metadata.json,,,
e74b6ef5,c7602580,2026-06-23T22:32:47+00:00,success,Slightly less leaf regularization (min_data_in_leaf 10) lets the 300 trees fit the BGU basket finer (opposite of the failed 50),ranker top-k net return up vs c7602580,ranker.min_data_in_leaf: 20 -> 10,0.00267295679602,-0.000177611796365,within_noise,0.189383616683,-0.000432248513192,6.33690508114e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.0087871568765,-0.0015102726952,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T223130822166Z/metadata.json,,,
89c0f6fb,c7602580,2026-06-23T22:34:06+00:00,success,"The 10-bar own-stock return is redundant with the cross-sectional returns; trimming to [1,3,5] leans the carrier set",ranker top-k net return up or flat vs c7602580,"model_features.ranker.return_windows: [1, 3, 5, 10] -> [1, 3, 5]",0.00277770534512,-7.28632472662e-05,within_noise,0.441145464292,-0.000273687120556,0.000132913744594,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00919989879364,-0.00195843677231,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T223249912949Z/metadata.json,,,
2cf06000,c7602580,2026-06-23T22:36:06+00:00,success,"Ablation: reverting cs_return to [10,20] should regress, confirming the short [5,10] windows still carry the edge at 300 trees",ranker top-k net return down vs c7602580,"model_features.ranker.cs_return_windows: [5, 10] -> [10, 20]",0.00265659543034,-0.000193973162045,significant_regression,0.0124298164544,-0.000387123655242,-2.73860628829e-05,significant_regression,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00919010268958,-0.00211933883065,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T223443440764Z/metadata.json,,,
0989e15d,c7602580,2026-06-23T22:37:27+00:00,success,"Ablation: restoring the volume_quality windows should regress, confirming the prune still pulls weight at 300 trees",ranker top-k net return down vs c7602580,"model_features.ranker.volume_quality_windows: [] -> [10, 20]",0.00267554361571,-0.000175024976677,within_noise,0.0723245798118,-0.000381716154156,2.21230883504e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.009251303466,-0.00195005393384,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T223608793040Z/metadata.json,,,
589153d5,c7602580,2026-06-23T22:38:46+00:00,success,The fast 8-bar EMA is redundant own-stock trend noise; dropping it to keep only [21] leans the carrier set,ranker top-k net return up or flat vs c7602580,"model_features.ranker.ema_windows: [8, 21] -> [21]",0.00275713681123,-9.34317811573e-05,within_noise,0.168980520797,-0.000241640638211,3.48896715586e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00931287958275,-0.00201237659252,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T223729907970Z/metadata.json,,,
f5b2eba1,c7602580,2026-06-23T22:40:30+00:00,success,280 estimators may edge out 300 on the fine grid around the peak,ranker top-k net return near or above c7602580,ranker.n_estimators: 300 -> 280,0.00281967973453,-3.0888857857e-05,within_noise,0.354433094549,-0.00010068092807,1.97373944074e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00909154753258,-0.0015257028263,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T223911550011Z/metadata.json,,,
d10f2b65,c7602580,2026-06-23T22:41:53+00:00,success,320 estimators may edge out 300 on the fine grid around the peak,ranker top-k net return near or above c7602580,ranker.n_estimators: 300 -> 320,0.00274597259643,-0.000104595995955,within_noise,0.0620450047814,-0.000227190968891,-1.3404451624e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00911570584362,-0.00162797426279,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T224032867314Z/metadata.json,,,
d6438dd7,c7602580,2026-06-23T22:43:06+00:00,success,Keeping only the long 50-bar SMA (dropping 20) leans the trend carrier; the opposite [20]-only trim hurt so the 50 may be the carrier,ranker top-k net return up or flat vs c7602580,"model_features.ranker.sma_windows: [20, 50] -> [50]",0.00265205020228,-0.000198518390106,significant_regression,0.0400840532239,-0.00038886507184,-1.11092020114e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00921652913263,-0.00145118492716,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T224155902999Z/metadata.json,,,
64d62669,c7602580,2026-06-23T23:02:30+00:00,success,"A very short 3-bar cross-sectional return window adds short-horizon ordering signal the champion's [5,10] misses",ranker top-k net return up vs c7602580,"model_features.ranker.cs_return_windows: [5, 10] -> [3, 5, 10]",0.00278373098654,-6.68376058446e-05,within_noise,0.544866185379,-0.000262481859489,0.00012503806008,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00914195199302,-0.00165886202771,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T230112143226Z/metadata.json,,,
ee1754d2,c7602580,2026-06-23T23:03:51+00:00,success,"A short 3-bar cross-sectional volatility window captures fresh dispersion the champion's [10,20] misses",ranker top-k net return up vs c7602580,"model_features.ranker.cs_volatility_windows: [10, 20] -> [3, 10, 20]",0.00261156143412,-0.000239007158264,significant_regression,0.00716850178666,-0.00045376693592,-6.93517138091e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00919485829693,-0.00196272597818,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T230233437415Z/metadata.json,,,
15e0fb06,c7602580,2026-06-23T23:05:12+00:00,success,"A short 3-bar cross-sectional volume-quality window adds near-term liquidity signal vs the champion's [10,20]",ranker top-k net return up vs c7602580,"model_features.ranker.cs_volume_quality_windows: [10, 20] -> [3, 10, 20]",0.00274030093765,-0.000110267654735,within_noise,0.220430295314,-0.000298903030386,5.35301151731e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00926592184623,-0.00140787085357,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T230354340608Z/metadata.json,,,
499a45b0,c7602580,2026-06-23T23:07:16+00:00,success,"Shifting the cs_return lever shorter to [3,5] (not just adding 3) may beat [5,10] if the edge is purely very-short-horizon",ranker top-k net return up vs c7602580,"model_features.ranker.cs_return_windows: [5, 10] -> [3, 5]",0.00258146829471,-0.000269100297679,significant_regression,0.00563140072087,-0.000487042484429,-8.89778893285e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00913782510939,-0.00205775753113,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T230601249417Z/metadata.json,,,
1768e08a,c7602580,2026-06-23T23:08:39+00:00,success,"A short 5-bar own-stock overextension window flags fresher stretch than the champion's [10,20]",ranker top-k net return up vs c7602580,"model_features.ranker.overextension_windows: [10, 20] -> [5, 10, 20]",0.00273573662138,-0.000114831971009,within_noise,0.161760573252,-0.000303832887376,5.55536739176e-05,within_noise,0.0454843971929,0,within_noise,1,0,0,within_noise,0.00908532467642,-0.00163120814782,/Users/richard/Desktop/pp/finance/StockWatch/.research/research_runs/20260623T230718729499Z/metadata.json,,,
